Rating,Text,Date Posted
5.0,I have purchased this controller twice now. works well lasted me longer than other controllers. most wear out quickly with the buttons sticking. these seem to do better than some more expensive ones. grips well pleased with the quality and play. price is not bad as well. so will keep buying this controller. old man gamer. but the grands love it to.,2026-02-18 22:17:36
5.0,"’ve been using the Xbox Wireless Controller for a few days now, and it’s easily one of the most comfortable and responsive controllers I’ve owned. The buttons have just the right amount of resistance, and the textured grips make longer gaming sessions much easier on the hands. Pairing over Bluetooth was instant, and it stays connected without any dropouts. I mainly use it for PC gaming, and the compatibility has been flawless across everything from racing games to shooters. Simple, solid, and built to last, exactly what I wanted.",2026-02-18 22:17:36
5.0,Fast shipment and fairly priced! Great replacement.,2026-02-18 22:17:36
4.0,"Doesn't work with the rechargable packs that the older controller uses. Is a usbhc instead of the mini USB. Didn't not come with a cable. The D pad on the bottom is connected on the corners, so limits the feedback. Screenshot button is in an annoying place (lower middle, near 2 other buttons).",2026-02-18 22:17:36
5.0,"Works so far, no problems yet.",2026-02-18 22:17:36
5.0,"This review will cover my opinion based on my experience with the product itself and the seller.  THE PRODUCT- I really loved the XBOX 360 controller and I was really confident that it was by far the best controller that was made. I loved the way it fit in my hands and I loved the placement of everything. I was a little skeptical when Microsoft changed the look. However, now that I have tried it, I can say that I have been very well pleased. Not much has actually changed as far as the feeling goes. It still feels super comfortable and the buttons are all in the same location. It fits well in the hands and is perfect for accessing everything you need and when you need it. Along with the sleek new look, I would say it was a very good change.  Just so you know, I am actually very critical about controllers. For me, the controller experience is way more than my ability to press buttons. I need to feel the controller, I need to see how the controller lasts over time, and how good it looks after a long time. For example, I did compare the XBOX One Controller to the PS4 Controller. I did enjoy the PS2 controllers however I found problems with the PS$ controllers. First off, it was not nearly as comfortable as the XBOX One Controller. Also, there was a lot of unnecessary space used for a rather pointless detail for the touch pad. No games actually use it to its potential so the touch pad was really just a waste of space. Also, the left and right triggers were very easy to break and stick. For such a vital part of the controller for most games, this was a heavy flaw for me.  This all made me really see the quality of the XBOX One Controller. It is, in my opinion, far superior to any other console controller out there.  THE SELLER- My overall experience was a good experience. I was pretty anxious to receive my product, so I was disappointed when I had delays with the delivery. However, that was in no part the fault of the sellers. It was lack of attention on my part when my address was not correct. That caused some delays, but soon after fixing the problem, the product was delivered promptly.",2026-02-18 22:17:36
5.0,"This is the best controller ever made. For $50 youre getting what you pay for. The plastic housing of the controller is smooth and relatively fingerprint resistant. They added a slightly textured grip on the back of the controller for this model but honestly you wont even notice it, but its not like it was going to fall out of your hand anyway. The face buttons have a tactile press to them that I wish was more 'clicky' but they went against this design so that games with quick button presses would click more quickly/smoothly. The bumpers are clicky, and you can click them better at the very far edge toward the center of the controller comparred to the original Xbone controller. The triggers are also the best Ive ever used with enough resistance to be precise but are also loose enough to press them quickly. Maybe they could be a little more but theyre still great. They also have rumble in the triggers, which sounds like a gimmick, but when you play a game like Forza and can actually 'feel' the texture of the cement as you drive it becomes hard to play without it. The rumble in general is good, but as usual with consoles, games dont really take good advantage of it. The analog sticks are better than the original Xbone controller in that they feel the same but they can take more of a beating. The analogs only have a little bit of resistance, the PS4 dualshock has better analogs in this area. You need a good amount of pressure on analog sticks so you can make very deliberant movements you know? But the analogs make up for this at least by having the most amazing texture to them. The PS4 dualshock is notorious for the plastic peeling on the analogs after some rough use. But this wont happen on the Xbone controller because the analogs are all one piece of plastic. Its physically harder which should make it less grippy, but the serrated texture finish on them makes them not the least bit slippery. Now lets talk about the dpad. The dpad is the most neglected piece of any modern controller. While the xbox 360 controller is famous for being the most popular controller in the world, its dpad is one of the worst ever made. Even the ps3 controller had a better dpad, which is just sad. But microsoft pulled this one off, and I have to say it is the best clickly dpad I have ever felt. Is it perfect? No, it could still be clickier. But it has a great balance of pressure for all four directional presses, as well as smooth thumb transitions to the diaginal presses. In this model they also extended the soft plastic to cover the home button. I dont like this decision, the original xbone design was better in that the shiny plastic separated the home button from the gaming buttons. The real thing I hate about this change is just the visual difference. I dont think anyone would ever really notice, but Im obsessed with details and this just looks inferior aesthetically. But to their credit it makes the home button more satisfying to click, even if its the most mushy button on the controller. The start and select buttons, and I refuse to refer to them by any other name contrary to what microsoft wants, are fine. They are more mushy than clicky but you barely used them so its fine. The home button by the way shines really bright which is fine in the day, but gaming at night becomes a nusance once this really bright light obscures the bottom of your vision. Its annoying because the Xbone elite controller lets you dim the home button as dark as you want, but not the standard one even though on a technical level its possible but they lock you out with their software. I should also mention that this model has microsofts own proprietary contact as well as a 3.5mm headphone jack. Basically all that needs to be said here is that they both work. Nothing is loose, the signals are good, and the latency is very very good. All of the controls on the controller have very low latency actually. I do wish the controller could pump out louder volumes for my expensive audiophile headphones, but any headphones for under $100 will be plenty loud. It does also allows headphones with mics to work over the same cord, so things like your EarPods and other headsets will work automatically. I guess the other thing to mention is the battery life. When youre using the rumble, the battery life is pretty lame. Maybe a few days of gaming. But with it off the controller should last a few weeks with most players. I wish it just had a rechargable battery in it for the sake of saving money on batteries, but Ill live. I dont know if theres anything else to mention. Im on a bus and I havent slept in three days. I dropped the controller a few times because Im dumb and it hasnt broken at all. Very nice. Hey im tired wooooooooooooooooo anyway best controller out there maybe besides the elite version which i cant afford because america. also it has no paint on it its all plastic so it doesnt chip or anything. the controller rattles when you shake bevause of the home button. also the triggers dont squeak nearly as bad as the 360 controller did so yay dogs and wgatmot",2026-02-18 22:17:36
1.0,"I purchased a new controller for my 10 year old son and it became defective within 5 weeks. My son doesn't even play it but a few hours a week and because they have a 30 day return policy, they couldn't do anything about it. Do not purchase the product, it will 100% go bad and they will not replace or refund your money back. Purchased elsewhere. Horrible return policy.",2026-02-18 22:17:36
5.0,"First off, I was sent the wrong controller, which was not the Bluetooth one, but I don't really mind much because I could save up for a wireless adapter and for the time being, I just use my phone charger which is very convenient. I got a used controller, and when I unboxed the controller, it was in great shape, it was like new! There were only a few nicks on the triggers, and visible scratches inside the Xbox logo.  However, I do have a few complaints: > The left stick has a bit of wiggle in the middle > the right stick's calibration is really off, even though i tried re-calibrating the controller in Windows. > Micro-USB port is a bit loose, so i had to put Velcro to secure my cable into a good position > There's a bit of gunk and stuff in the crevices of the controller's frame that is hard to clean off  ###Note: I got a USED controller, I doubt you would have any of these problems if you got a NEW controller!### Other than that, I did not have many problems with the experience. Now for my overall review of the controller itself, which earns 5 stars.  The Xbox One controller is OUTSTANDING both in design and usability. >>The aesthetics This controller has a really sleek and neat look, with more edges and less curves than the 360 controller. The shiny top part and the redesign of the shoulder buttons and triggers look pretty cool too. It's more streamlined and takes up more surface area of the top of the controller than the 360 controller. It just looks pretty cool, and has a cleaner look than the 360 controller.  >>The Design and usability Okay, in my very honest opinion, the way Microsoft designed this controller is an outstanding 9/10. The removal of the battery pack bulge, the redesign of the triggers and D-Pad, and the relocation of the Xbox buttons are clear evidence that Microsoft took the right steps. Furthermore, the new textured joysticks are a REALLY good addition, adding more grip, even though you have slippery or oily fingers. Finally, the new 'view' and 'notification' buttons are nice. In old games, they function just like start and back, and in newer ones they hold their functionality like they should.  The only things that take off a point is the new shoulder buttons and the main rumble motors. On the 360 controller, the shoulder buttons were hinged on the center of the controller, which meant that no matter how big your hands were, you could press the shoulder buttons from any location on its surface. However, on the new controller, the buttons are hinges on their inner edges, which means that if you have big hands like mine, you would not be able to press the shoulder buttons on the side nearest to its center as comfortable as the 360 controller's buttons. The buttons also need more pressure to make a full press, as their switches are harder to press.  The new main rumble motors are also noticeably weaker than the 360 controller's and have less 'shake' to them.  >> Features First off, I would like to say that the new trigger rumbles are a sweet type of haptic feedback, indicating direction and origin of the source of vibration in the game. It is awesome, but it eats up battery really fast if you play games that use that feature a lot.  Thankfully, there's another new feature that I simply commend Microsoft for adding: the ability to power, charge, and use the controller through your regular phone charger microUSB cable. Unlike the old 360 controller, you would need to get the cable from Microsoft, and you wouldn't be able to play with the controller on the PC just by plugging it in. __________________________ Overall, I absolutely love the new controller, and I hope Microsoft keeps this design, but tweaks it juuust a bit, as it is absolutely amazing!  __________________________ EDIT 12/20/2018 -- It has been well over one year now, and a few months ago, I bought new thumbsticks and they are far better than the original. It has also held up to many, MANY drops (i am quite clumsy, and any wire hanging down from my desk can pull it down), having just a few more nicks than it came in with.",2026-02-18 22:17:36
4.0,"Funciona bien, pero llego con marcas de uso, como si el control lo hubieran usado",2026-02-18 22:17:36
