Rating,Text,Date Posted
5.0,"The Fire TV Stick 4K is a game-changer in the world of streaming devices, delivering brilliant 4K streaming quality along with a host of features that make it an essential addition to your home entertainment setup.  What stands out immediately with the Fire TV Stick 4K is its exceptional streaming quality. Whether you're watching your favorite movies, TV shows, or sports events, the 4K Ultra HD resolution offers stunning clarity and vibrant colors. It's like having a movie theater in the comfort of your own home.  But the Fire TV Stick 4K doesn't stop at stunning visuals. The device also offers a wide range of streaming options, including access to popular streaming services, apps, and channels. You can seamlessly switch between Netflix, Prime Video, Disney+, Hulu, and many others, ensuring you never miss out on the latest content.  One of the standout features of the Fire TV Stick 4K is its voice remote control. With the power of Alexa, you can navigate through your favorite shows and apps with voice commands, search for content, and even control smart home devices. It's a convenient and time-saving feature that adds a new level of simplicity to your entertainment experience.  The inclusion of free and live TV is a major plus. You can access live TV channels, news, and sports without any extra subscription costs, making it a budget-friendly option for a wide variety of content. It's perfect for cord-cutters looking for a more cost-effective way to access live programming.  Installation is a breeze, and the compact design of the Fire TV Stick 4K ensures it fits easily into any setup. It's also compatible with Dolby Atmos audio, delivering an immersive sound experience that complements the stunning visuals.  In conclusion, the Fire TV Stick 4K is a fantastic investment for anyone seeking to elevate their home entertainment experience. Its brilliant 4K streaming quality, extensive streaming options, voice control capabilities, and inclusion of free and live TV content make it a top-tier streaming device. If you want a device that brings the best of entertainment to your living room with convenience and affordability, the Fire TV Stick 4K is the way to go. It's a game-changer in the world of streaming technology, and I highly recommend it to anyone looking to upgrade their home entertainment setup.",2026-02-18 22:02:42
5.0,Functional and true to description,2026-02-18 22:02:42
5.0,"I had a 1st Gen Fire TV stick years ago. This new Fire TV stick 4K with Alexa Voice Remote is a marvel by comparison!  (Skip to the next paragraph if you want to get right to the product itself...lol) I was having issues with my bedroom TV. It's a Vizio ""Smart"" 4K tv and recently it has been freezing up when using certain apps. The Netflix app was the biggest offender. It would freeze up, no remote function worked and I'd have to get up, physically unplug the tv and plug it back in just to reboot it. Apparently, this is a common issue with app incompatability with the Vizio and certain apps. Even with all of the apps and the TV's software and firmware up-to-date, the problem persisted. I decided the best work-around was to take the TV's software out of the picture and let the Fire TV Stick be the ""Smart"" part of my ""Smart TV"" setup. And it's awesome!  The first thing I noticed was how easy the setup was. It paired effortlessly with my tv, Echo Dot Speaker w/Alexa and even my Blink cameras. Sure, you have to go through all of the usual stuff like download the streaming apps that you use that aren't pre-loaded and sign in to them all, but that's an expected pain in the butt and I only had 2 that weren't already there.  The voice commands are also very intuitive. Whether I'm using the remote, my Echo Dot or the app on my phone, I get what I'm looking for.  What I wasn't expecting was the much better picture quality! I have a Vizio 4K Ultra TV and I've noticed some of what I watch the quality is definitely not 4K but that's more to do with the quality of the content not being 4k (like my live TV streams using YouTube TV for instance....I don't pay for the 4K option). As soon as I got the Fire TV stick up and running, I noticed a much sharper picture (even the YouTube TV). I'm not a techie or videophile by any stretch of the imagination, but I'm guessing there are a few factors at play that contribute to the better image quality: Fewer resources being used by the TV itself having to run the apps whereas the Fire Stick has ample memory and fast processor to handle the bandwidth better, and there might even be some ""upscaling"" being done by the Fire to emulate 4K. Not true 4K but sharpened to nearly mimic the end result. Whatever it is, I was actually expecting a drop in quality so an increase isn't an optical illusion on my part. lol  After a few days, I decided that I needed one thing that this was lacking....a remote with back-lit buttons. I've become spoiled by my universal remote with buttons I can see at night in my bedroom (and the remote is now defunct because it's infrared and doesn't work with the Fire Stick).  So I threw down $34.99 for the Alexa Voice Remote Pro. Yes, I paid more for a new remote than I did for the Fire TV Stick and remote just to have lighted buttons. LOL BUT the remote has a bunch of other features that make it a little more useful and some features are just cool (you can use both remotes so I have a backup now). It has a ""Find my remote"" feature, additional, programmable buttons that are super easy, etc. so I'm in Fire TV Stick heaven with this remote plus the Fire TV Stick 4k.  I highly recommend this Fire TV Stick. I considered getting the 4K MAX even though I don't have the latest wifi system that it takes advantage of, but I don't think I'll miss it even if my ISP upgrades it's service",2026-02-18 22:02:42
5.0,"The Fire TV Stick 4K works perfectly — fast, smooth, and easy to set up. The voice control with Alexa is super convenient, and image quality is excellent. Great value for home entertainment!",2026-02-18 22:02:42
4.0,"We like this Firestick, and the operation of it. My only complaint is lack of instructions. Apparently it is assumed you have a newer TV, but nothing for setting this up on older smart tv's such as we have, which is a 2017 Vizion model D32 with HDMI port.  Took me about half hour to finally figure out how to get the Firestick and our HDMI to find each other. I finally realized with our TV, you have to set your input...in this case input was HDMI...but for some reason it synced up with HDMI2 connection. I didn't understand it, but it is working well, after I figured out why I was seeing nothing about Firestick.  In any case, after it did a software update, and finally booted up, worked well. Takes some time to find your way around and navigate, but this is a very clever nice addition to any Smart TV, especially older ones. I unplug the Firestick every night before we stop watching TV, you don't have too, but we do.  A lot to watch that is included with Prime, as well as a lot through IMDBTv that has ads, but still a good selection of shows. The ads on IMDBTv are not too intrusive or long, it is just nice to be able to catch some shows we like and older shows.  If you have a newer smart TV, I am sure it is easier to setup, but do not expect to be presented with many instructions, what you get is ok, but no addressing older TV's or any models in particular. You are on your own with that, but the instructions themselves are ok...just not any help for connecting to various TV's.  Nice unit, worth the 29.99 we paid for it, and we love Prime too!",2026-02-18 22:02:42
5.0,"I’ve had a few Fire TV sticks over the years, and generally I love them. For this model, the first one I got was a dud. It died in 2 days. Amazon took me through some reasonable troubleshooting steps, then replaced it quickly and easily. The second one is a lot better.  In general, I find the remote has a weird tendency to, I guess “rot” is the word. The case starts to feel like it’s covered in a sticky mess. I don’t know why. I guess that’s why the remote covers are so popular. Not a stopping point – they still work – just a point of note. The optional game controllers do not have this issue.  There are ample streaming options. I’ve yet to look for something, even less common things like Wonderium and Funimation, and not find it. The UI is easy to navigate. The device is responsive. I put it through a 7.1 sound system and it can handle that no problem.  A few things to note, not exactly faults of the product, but faults you will encounter while using the product.  For the Disney+ login, the trick of using the phone just errors out and asks to re-authenticate over and over. If you use a strong password, that can be a pain. Once it works, it’s fine, just a pain to set up.  For the Ubisoft+ integration, for many of the games it starts to load then fails. I don’t see the same issue on the same games on PC, so it’s probably related to the app. This was the primary purpose for which I bought the device, so it is a bit of a disappointment. Also note, you need the Luna service for this, which is totally worth it on its own, by the way. Also, at least for me, while the video streaming was fine over WiFi, the gaming required the Ethernet adapter.  It’s not perfect, but it’s outstanding for such a low price. I often use it rather than power up my PS5 to watch Netflix because it is so much more convenient, and of identical quality.",2026-02-18 22:02:42
5.0,"This Amazon Fire TV Stick 4K has been absolutely amazing and completely upgraded our entire home entertainment experience - the quality is outstanding with brilliant 4K streaming that delivers crystal-clear picture quality and vibrant colors that make every movie and show look stunning on our TV, far superior to our old cable box or built-in smart TV apps that were constantly glitchy and slow. The functionality is incredible as it provides seamless access to all our favorite streaming services while the intuitive interface makes finding content effortless, and I love how the smart home controls let me manage our Alexa-enabled devices right from the remote without having to use separate apps or voice commands for everything. It looks great with its compact, unobtrusive design that hides perfectly behind our TV while delivering premium performance, and the setup was remarkably simple - just plug it in and follow the straightforward on-screen instructions to be streaming within minutes. At this price point, it's incredible value considering the vast library of free and live content it provides along with access to premium services, essentially replacing expensive cable subscriptions while giving us more viewing options and better performance - this device has saved us hundreds of dollars annually while actually improving our entertainment experience with faster loading times, better picture quality, and more content variety, and the reliability has been flawless with consistent performance that makes streaming feel effortless and enjoyable every single time we use it, making this one of the best technology investments we've made for our home.",2026-02-18 22:02:42
5.0,"The Amazon Fire TV Stick 4K is one of the best budget-friendly streaming devices available. It delivers crisp 4K Ultra HD resolution with support for HDR10+, Dolby Vision, and Dolby Atmos, providing a cinematic experience right at home. The interface is smooth and responsive, especially with the newer model’s Wi-Fi 6 support, which helps reduce buffering even on crowded networks. The Alexa Voice Remote makes navigation easy, and the built-in app buttons are convenient for quick access to popular services. While there are ads on the home screen, the overall performance, picture quality, and app selection more than make up for it. For most users, the Fire Stick 4K offers exceptional value, but if you need more storage, faster speeds, or features like Wi-Fi 6E and the Ambient Experience, the Fire TV Stick 4K Max is worth the slight price upgrade.",2026-02-18 22:02:42
1.0,"My firestick failed after a system update. Here is the support chat.  Hi! It's Amazon's messaging assistant again. What do you need help with? 11:23 AM Get help with general Fire TV issues 11:23 AM Messaging Assistant | Customer Service Sorry to hear you’re having trouble with it. What’s the problem? 11:23 AM Something else 11:23 AM Messaging Assistant | Customer Service Sure, here are options to help with that 11:23 AM OK, get help through chat 11:24 AM Messaging Assistant | Customer Service If you have details you think would help the associate, type them here. 11:24 AM M Mohammed Zubair has joined and will be ready to chat in just a minute. Mohammed Zubair | Customer Service Hello Carl, This is Mohammed Zubair from Amazon Support. How may I Assist you today ? M11:24 AM My firestick is stuck in update software mode. I have unplugged it, moved it to another TV. nothing helps\ are you still there 11:26 AM Mohammed Zubair | Customer Service I'm sorry to hear that your Firestick is not working properly and is stuck on software update mode. Yes, I'm here Could you please help me with the Device Serial Number of the Firestick or The Order Number ? M11:27 AM the software update fails in the same spot each time. I am not sure how to get that since it is in a loop. I am not sure how to get the serial number. I have several devices. This one is in a loop so I can not see the serial number 11:28 AM Mohammed Zubair | Customer Service I completely understand your concern and I sincerely apologize for the hassle. Could you please unplug the Firestick and the WiFi router and wait for 1 minute. And then first plug in the Router and wait for 30 seconds and then plug in the Firestick And make sure the firestick power cable is plugged in Just to confirm is the WiFi router is near to the Firestick ? M11:31 AM Unplugging my router will take my entire home offline. I do not want to do that. I do not have a problem with my network. I have 3 other fire devises a apple tv and a roku all working fine. the problem is with that firestick' Yes it is close to the router. I have looked on your forum, it seems many people are having this problem. 11:32 AM Mohammed Zubair | Customer Service I completely understand but we request you to do as this is a part of troubleshooting for the Firestick. I hope you understand. Thank you for the confirmation . M11:32 AM You do know that if I were to do what you suggest that it will end this chat? I am connected thru the same router. I will not do that unless you call me on my phone line 11:34 AM Mohammed Zubair | Customer Service I completely understand your concern but no, it will not end the chat. Please do not worry. M11:35 AM My computer connects to the internet thru the router \it will end the chat 11:35 AM Mohammed Zubair | Customer Service Ohh, Okay ! No worries. Could you please unplug the Firestick and wait for 1 minute and plug it back ? M11:36 AM I hav done that several times 11:37 AM Mohammed Zubair | Customer Service I completely understand but could you please do it once again now ? and could you please help me with the Order Id of this Firestick ? So that I can check it for you. M11:38 AM the problem is with your download. AS I stated others are having the same problem. HOw the heck do I know which order this is? I have 4 fire sticks This is one G071EL1113371E08 11:39 AM Mohammed Zubair | Customer Service Thank you for the confirmation. M11:39 AM this is another G070L82291770X27 this is another G071EL1113371E08 11:40 AM Mohammed Zubair | Customer Service Could you please confirm which one are you having the issues with ? Please visit this link to find serial number: https://www.amazon.com/mycd M11:40 AM G070L8127242228P I have several firesticks it is one of those 3 serial numbers 11:41 AM Mohammed Zubair | Customer Service I understand but do you have any idea about when was it purchased , like how many years back or in which month ? M11:42 AM so are you going to tell me this is an out of warranty issue ? 11:42 AM Mohammed Zubair | Customer Service No, I you help me with the date so that I can find the Serial Number for you and will be able to check the issue and the details. M11:43 AM those are the 3 serial numbers it could possibly be. one was registered 9/2023, one registered 2/2022 one 7/2019 11:46 AM Mohammed Zubair | Customer Service Just to confirm would you like to have a call from us ? Thank you for the information. M11:46 AM sorry I was looking it up on my account 11:46 AM Mohammed Zubair | Customer Service Would you like us to call you? as you said above ? no worries. As you were afraid that you may be disconnected so I can help you with a call. M11:47 AM I am not sure a call will help. either there is a way to interupt the loop or there is not is there a way to do a force stop of the firestick ? 11:48 AM Mohammed Zubair | Customer Service I will definitely check the details at my end and will assist you in the best possible way. Could you please allow me 2 minutes while I check this for you ? M11:49 AM of course 11:49 AM Mohammed Zubair | Customer Service Thank you for your patience. M11:52 AM of course 11:53 AM Mohammed Zubair | Customer Service I'm sorry but as I confirmed we need to do this troubleshooting ,Please unplug fire stick from TV and turn the TV off by unplugging it and turn the router as well and wait for 1 minute, turn them on back after 1 minute and check if that works We need to do this to fix the issue. I hope you understand. M11:54 AM AS I said that will end my internet connection. I am sorry but I am pretty technical, my internet connection has nothing to do with this. I have been on two separate networks that I run in my house. I will not do this The download fails for others per your forums. I do not think my internet connection effects others. 11:58 AM Mohammed Zubair | Customer Service Could you please try this troubleshooting : 1. Go to Settings on your Fire TV. 2. Select Applications . 3. In Manage Installed Applications, select the app you are having trouble with. 4. Select Clear Cache, and then Clear Data. M11:59 AM on the fire tv ? 11:59 AM Mohammed Zubair | Customer Service yes M11:59 AM ok, hang on I have to go to another room for thqt 11:59 AM Mohammed Zubair | Customer Service Sure. Let me know once done. M12:00 PM I am not having problems with an app, the firestick starts to download a system update not an app update. the update is Amazon maintenance 12:01 PM Mohammed Zubair | Customer Service I understand, Could you please help me with the Correct Devise Serial Number or The Order Number of which you are facing issues. So, that we can check and help you. M12:03 PM I gave you each serial number I have 12:04 PM Mohammed Zubair | Customer Service I understand but we need the exact serial number of which you are having issues, I hope you understand our limitations in this case. M12:05 PM How can I get that for you. I have only 2 fire sticks in my house. Two I have thrown away. I do not know which one I have left, I know the 4k which is the newest one. I assume the G070L8127242228P Device registered on : September 1, 2023 G070L8127242228P Device registered on : September 1, 2023 12:07 PM Mohammed Zubair | Customer Service I completely understand and just to confirm are you referring that G070L8127242228P this the Serial Number you are having issues with ? Could you please confirm? M12:08 PM I think that is the one. AS I said I can not look at it since it is in a loop. That is the latest one I have other than a 4k I just purchased 12:09 PM Mohammed Zubair | Customer Service Thank you for informing. I sincerely apologize for the hassle you are facing ,Looks like we need a different team to assist you, Please stay connected, while I connect you to them. M12:10 PM ok 12:11 PM A Akash has joined and will be ready to chat in just a minute. Akash | Customer Service Please give me a moment to review the previous correspondence. A12:13 PM of course 12:13 PM R Riya has joined and will be ready to chat in just a minute. Riya | Customer Service Hi Carl. I'll take it from here. Please give me a moment to review conversation. R12:17 PM hello it is simple, my firestick fails trying to install system update. 12:18 PM Riya | Customer Service Thank you for confirming the issue. I do apologize for the inconvenience caused. R12:18 PM it is in a continual loop attempting to install the system update 12:19 PM Riya | Customer Service Let me connect you to a member of the team that will best be able to help you with this. It will only take a moment. R12:22 PM R Ramesh has joined and will be ready to chat in just a minute. Ramesh | Customer Service Hello, my name is Ramesh. Please allow me a moment to go through the chat. R12:22 PM is this a joke ? 12:22 PM Ramesh | Customer Service I am sorry for the transfers and I understand your concern with the fire tv stick may i ask if the fire tv that you have issue with was purchased from a retail store and not from amazon? R12:27 PM I am having trouble with a firestick, purchased from Amazon 12:28 PM Ramesh | Customer Service I am sorry but for us to make sure we are looking at the correct device, we would need the exact serial number of the device, or the order ID for the item of the item. You may try to find the order ID with this link www.amazon.com/orders could you please check and help me with the order ID? R12:29 PM I gave you the serial number. I got it from my account on Amazon 12:29 PM Ramesh | Customer Service the one which was registered on : September 1, 2023 ? R12:30 PM No feb 2022 12:30 PM Ramesh | Customer Service Thank you for confirming. R12:31 PM G071EL1113371E08 Device registered on : February 18, 2022 Software security updates : Through 2027 12:32 PM Ramesh | Customer Service as I can see, the device was lastly Factory Reset on Sat, Feb 19, 2022, 12:26:10 AM UTC  could you please try to factory reset the device and check if that helps? 1. Press and hold Back and right side of the navigation circle together for 10 seconds. 2. On the TV screen, choose to continue or cancel the factory reset. If you don't choose, the device resets automatically after several more seconds. Here are the steps to factory reset without having to go to the setings. R12:33 PM I have done that it does not reset. I will do it again. 12:33 PM Ramesh | Customer Service Thank you Carl. Please try to hold upto 20 seconds instead of 10 seconds. R12:34 PM the light on the remote flashes 3 times and nothing happens. it restarts the system update. 12:37 PM Ramesh | Customer Service let me know if that gets stuck again. R12:37 PM yes it hangs still 12:39 PM Ramesh | Customer Service Okay no worries, Let me check the options available for you in this regards R12:39 PM ok 12:39 PM Ramesh | Customer Service I am sorry the Warranty Expired on : Sun, May 22, 2022, 12:00:00 AM UTC  and hence I will not be able to replace this device for you now. But as an exception for you I will be able to help you with discount on a new device purchase. Hope that helps? R12:41 PM no help at all. This will end the purchases of amazon products for me. 12:41 PM Ramesh | Customer Service I totally understand, however, once the device warranty expires, we will not be able to replace the device. R12:42 PM The device did not fail your software did. the device worked fine until the system update 12:43 PM Ramesh | Customer Service Have you tried to unplug and replug back to the main power socket? R12:44 PM of course. it is a software problem. look at your forum, others are having the same issue Before I disconnect, is there a way to disable ALL system updates on my other products ? 12:46 PM Ramesh | Customer Service yes, you may turn off the auto renewal for the device from the settings and that should take care of the auto renewal since you are a valuable customer to amazon I have made a one time exception for you R12:48 PM I intend on sending a copy of this support chat to Amazon and will be posting it on social media. this is horrible support . This is a Amazon problem and your solution is to try and sell me another product. 12:48 PM Ramesh | Customer Service and please purchase a new device and once it is delivered, contact us back and we will issue full refund on the new device purchase I will add notes on your account the agent that will join will be able to see the notes and he will help you with the full refund with no questions asked. I hope that helps now/ ? R12:49 PM I have no confidence that a refund would be issued. I will not buy a product to fix an amazon problem 12:49 PM Ramesh | Customer Service the refund would be absolute Carl, and this chat is also saved permanently at amazon so please do not worry, you will definitely have the refund Please contact us back once the new device is delivered as we will only be able to refund you after the device is delivered. Anything else I can do further do to help you today? R12:51 PM I am sorry for the support that you provide, not you personally but you as a service provider. I am done with Amazon products.",2026-02-18 22:02:42
1.0,"DO NOT BUY FIRE TV DEVICES!!! CHOOSE ANOTHER STREAMING PLAYER BRAND!!! Worst customer service experience in my life from Amazon!!!! Amazon sent me a completely broken Fire TV 4k stick! From day one the audio cuts out entirely after a few mins of playing a video, and does not return until stick is physically unplugged from power. Then it cuts out again. Problem occurs in all video apps, and I tried full software restore, plugging into multiple different TVs, as well as different audio connections (direct to TV through HDMI, Through receiver, through bluetooth on multiple devices.) And my other Fire TV 4k of the same model works fine in this same TV, so... THE STICK IS BROKEN! So I contact Amazon through their chat interface and Parmish is a total disaster at helping me. I tell him that I have done a full software restore on it, at which point he responds that I need to do a full software restore. Ya know, the thing I just told him that I did already. Then I tell him I have already tried plugging the fire TV directly into the TV with no sound receiver, and he says ""well than what I need you to do is plug the fire TV directly into the TV with no sound receiver."" This happened over and over. It was like a bad joke. But I wasn't laughing. Finally after about an hour of this nonsense he decides that my Fire TV stick needs to be replaced. Then he says I ""Have no card on file"", what ever that means. So after about 10 more unanswered and ignored questions to him about just what he's talking about I finally figure out he means my Amazon account has no credit card on file. But it does have a card on file. I log in and verify this. The card is up to date and working, and amazon had just charged it that day even. So I tell him this, and he responds that I need a credit card on file in order to send out a replacement, even though it won't be charged. I tell him again that the card is on file and working, and he says it need to be updated. Even though it does not. So I hit ""edit"" on my card info on file, and resubmit the same working card. Parmish sees this on his end and says thank you. Then he says I need to update my OTHER CARD on file. I look and there is an old credit card from 6 years ago on the account from a bank I no longer use, and its not even selected as the active/favored card, so It doesn't even matter that it there, but I delete it anyways just to be sure. Then Parmish says I need to reenter and update that old card (that I no longer bank with) in order to get a replacement sent out. At this point I'm done with Parmish. The whole conversation was absolutely ridiculous! I say ""thank you for the help but I need a supervisor. Please transfer me to a supervisor.""  So Parmish transfers me to Vikas. I ask Vikas if he is a supervisor and he says ""no."" (Are you surprised by this? I wasn't.) So I explain that I was suppose to be transferred to a supervisor and ask that Vikas transfer me directly to a supervisor. And I'm transferred to Annal.  I ask Annal if they are a supervisor, and they answer... get ready for it... are you ready... they answer ...""No"" !!!!!!!!! They &^^&%&$^^%^ answer ""No.""  So I close the chat window I just wasted over an hour on and I call Amazon. This is where the real nightmare begins. I start off with a regular customer service rep and I ask her to transfer me to a supervisor right away because this will be my 4th attempt to get a supervisor. She is very polite and gets me a supervisor on the line write away. I explain the entire issue with the Fire Tv 4k Stick and everything I have done to troubleshoot it already YET AGIAN, and the supervisor apologizes for all the insane trouble I've been having. She sounds like she really wants to help me, asked some more questions, and then tells me that she can't replace this particular model because its out of stock. I had just checked the stock, so I knew it wasn't out. I checked it again, and then told her it appears to have plenty of stock. She verified what model it was again, then said ""oh yes, I guess we do have it, let my put you on hold while I try to send you one."" She comes back a while later and says ""the system won't let me send you one. I have to transfer you to a Fire TV Specialist, buy I'll get you a manager there as well.  So then I have to go through the whole thing again with this new Fire TV Specialist person. She keeps putting me on hold to check things over and over again. And she has me do crazy things - For example, she insists I go to my TV, unplug the other working Fire TV I now have in there, and plug this broken one back in, then load it up and read the serial number off of it to her from the info screen. Why? Doesn't she already have that info? She should. And WHY AM I PLUGGING A $25 DEFECTIVE BROKEN DEVICE BACK INTO MY $2,000 FLATSCREEN??!!! I don't want to do that. I shouldn't be asked to do that. What the hell? Then she keeps checking to see if I'm still in warranty. REALL???!!! I JUST got this stick in the mail. I JUST GOT IT. How long is the warranty period that she has to keep checking on.. 5 hours after purchase. Also, this is a brand new model that just came out. HOW COULD ANY OF THEM POSSIBLY BE OUT OF WARRANTY??!!  Finally after 3 HOURS of talking to people about this and a final, particularly long hold while the Fire TV Specialist person tries to figure out if I can be sent a replacement - I give up. I tell her I'll just return it instead - just so I can just get off the phone. But I'm NOT returning it - That too would probably turn into another huge nightmare. It's not worth my $25 for all this aggravation. So... I'M DONE. This is ridiculous! After speaking with a total of SIX people for over THREE HOURS.. My brand new Fire TV 4K stick in now in my trash can and I'm never buying a Fire TV product again. All Amazon need to do was have me send in my broken one and then send out a replacement. That's It. They could have sorted out all their serial numbers and insane data requirements after they got my stick back. AS a customer, I simply got something in the mail that arrived broken and I wanted it replaced soon after I got it. How simple of a transition is that? But instead I got this torrent of poor customer service and bizarre data mining. SO.. Officially.. I'm no longer a Fire TV user.  I'm currently switching my entire smart TV ecosystem for the entire house over to Google's Android TV now, I've had it with Fire TV, and I suggest you do the same. Android TV systems don't suffer from the same app limitations that Amazon does (IE with Fire TV you get access got about 12% of the Android apps available to the rest of the Android TV world, Even though Fire TV runs on Android, and you can install what ever apps you want on your Android TV device without having to TRICK IT into installing it), it still works and runs apps (like playing a game or looking at photos) even if your internet connection goes down (Fire TV becomes a useless brick without constant internet), and the whole thing just seems to run better. I don't have time to deal with Amazon's nightmare anymore. All I needed was for Amazon to replace the broken Fire TV stick they JUST sent me, and they can't even do that. So, ummmm... BYEEEEEEEEEE!!!!!",2026-02-18 22:02:43
