Rating,Text
5.0,"My original purchase actually never got sent to me/was missing from my package, but, customer service easily resolved this and ""replaced"" the item, so, once I finally got what I paid for, I was quite satisfied with what I'd purchased!  I bought this with the intention to use it to charge my SteamDeck, which requires a dedicated 15V at 3 Amps to charge (especially if you're playing it while charging).  Cons first: this little thing is a brick -- it's heavy, it's dense, but! It's decently compact! And foldable, which makes it wonderful for travel! I originally wanted something that could power multiple devices if it was going to be chunky, but, unfortunately, I was unable to find a charging block with multiple ports with the dedicated power that I needed. Most of what I found might have claimed to be 3A+, but, when you look at the output power for 15V, that usually dropped down to 1-2A, which, won't charge the SteamDeck as desired. So, I settled on this charging block.  Now, for the Pros: It's definitely less bulky than the SteamDeck's original charger, and, I can buy whatever length cord or cord style that I want! It feels like it's a really solidly built charging block, but, more importantly, it gives me the proper power that I needed to charge my SteamDeck. For smart devices (such as the Samsung Tablet S7), it can easily super/fast charge them too! Despite it being a little heavy and a mini-chunk, it's a mighty little thing, does what it needs to, and is of good quality. Very satisfied with this purchase!"
5.0,"Good charger and compact size, great for a backup charger. Fast charges my Samsung but only slow charges my new Dell. I would get the 100W next time."
5.0,"Small, powerful, exactly as advertised. replaced my iPad charger with it and is powerful enough to charge a MacBook pro 13 inch as well as plug into airplane outlets without tripping the power. Recommend"
5.0,"I've been using Anker's 65W GaN chargers for years now, and this is actually a replacement after my toddler decided to give my previous one an unexpected water bath! That should tell you something about how much I trust this charger - when I needed a replacement, I didn't even consider other options.  **What I Love:** This thing is my catch-all charging solution. I regularly use it to power my Samsung Galaxy S23, Lenovo ThinkPad T480, and Galaxy Tab S6 Lite, and it handles all three without breaking a sweat. The 65W output is perfect for this range of devices - plenty of power for my laptop while not being overkill for my phone.  The compact size is honestly the standout feature for me. For a charger that can handle everything from phones to laptops, it's remarkably small and travel-friendly. I can toss it in any bag without thinking twice about space or weight.  **Performance:** Charging speeds are consistently good across all my devices. My ThinkPad charges at full speed, my phone gets rapid charging, and the tablet powers up quickly too. I've never had any scenarios where it underperformed or couldn't handle what I threw at it.  **Build Quality:** Rock solid construction. My previous one lasted years of daily use and travel before meeting its watery end (definitely not the charger's fault!). The fact that I immediately bought the exact same model as a replacement speaks to how reliable these are.  **Bottom Line:** If you need one charger that can handle multiple devices reliably, this is it. Compact, powerful, and built to last. Highly recommended for anyone looking to simplify their charging setup."
5.0,Sleek and the best charger in the game. This works better than OEM chargers and is so versatile. It will not break easily because of exceptional build quality. Will buy again
5.0,Super small but really powerful. Charges my phone and laptop fast without getting hot. Easy to throw in a bag and great for travel. Solid quality like you’d expect from Anker. Definitely worth it.
5.0,Super small. Works as expected with max capacity. Charges my laptop which required 65W charger and does not complaint about it. Is also compatible with my S25 ultra with Super Fast Charging status on the screen.
4.0,Works really well. Charges quickly. It also has a really good quality braided cord rhat seems like its going to last quite a long time. Impressive. Im also happy that there are 2 in the pack. I need to get some more to replace all the cheap ones I have around.
5.0,"I’m a fan of the Anker GaN chargers (coupled with their high-power USB-C PD cables). They are very compact and deliver good, clean power without overheating. We have several models in our collection. This 65 Watt model is for my wife’s Acer laptop. I also have a couple of 100 Watt models for my ASUS VivoBook S (OLED display and more powerful processor require more power), a couple of 45 Watt models for wireless phone chargers, and a 100 watt power station at the table we share in the dining area. All of these Anker models have performed reliably. I particularly like the foldable plugs on the portable models - the chargers fit nicely in backpacks and luggage without snagging clothing, etc.I'm a strong advocate for Anker GaN chargers, especially when paired with their high-power USB-C PD cables. They are exceptionally compact and consistently deliver clean, reliable power without any overheating issues. I've integrated several models into my setup.  For my wife's Acer laptop, I use the 65 Watt model. My own ASUS VivoBook S (which has an OLED display and a more demanding processor) requires the higher power of a 100 Watt model, of which I have a couple. I also utilize two 45 Watt models specifically for wireless phone charging. Additionally, a 100 watt power station is set up at our shared dining table.  All of these Anker units have proven to be dependable performers. A feature I particularly appreciate on the portable models is the foldable plug, which allows the chargers to be packed neatly into backpacks and luggage without the risk of snagging on clothing or other items."
4.0,"I like this because it is close to the maximum wattage you can get for being able to use it in pretty much all airplane plugs (often fused to 75W) and is a nice, compact size for a carry-on. With US Type A blades, it unfortunately often needs something like an EU Type C adapter to keep in the slots, but whatever, I'm used to that and always have one.  My main reason for dinging it a start is that it would be better if it it had a small LED on it that indicated it was getting electrons. The charger itself works just as expected, but for my primary use case of airline travel having that extra indication that the juice was flowing would be much appreciated. Having a native Type C plug would also be nice."
5.0,"Purchased to replace the bulky brick for a ThinkPad T14 and didn't want to spend the Lenovo tax on their own 65ww GaN brick and I'd actually go as far as to say this is a better option. This is a little smaller, has folding prongs, and seems to run just a little bit cooler than the ""first party"" option. And of course, it has that Anker aesthetic which IMO is a little nicer."
5.0,"It's an Anker device - so you just know it's going to be a quality product that will provide years of trouble-free service. This adapter small and dense - it doesn't feel cheap at all. USB-C cables fit snugly. 65W output ensures ""Super Fast Charging"" of compatible devices. I use this to charge my Anker 100Wh power bank that powers my Nikon Z8 camera, but can be used to power or charge notebooks, cell phones, etc. that use USB-C connectors. Always use thicker, quality cables rated for 65W or greater with this charger."
5.0,"I am a big fan of Anker chargers they work and as of yet they have never let me down. I have several of there cube chargers. I got my first one three years ago and it’s still working as if it just came out of the box. They do cost a few dollars more but they are worth the money spent. It only takes about one hour to charge my IPhone up to 100%. In my opinion, they are well built CABLES connect to them without problems. I’m just really happy with the product. I don’t know if this helps you, but I don’t see where you could go wrong getting an anchor charger."
5.0,"Another Anker masterpiece and reason to unify your digital devices to USB-C. It does get pretty hot when you use it but considering the size, it's not too bad. Unless you paid the full price, it's a great value product. Since it's single port and max 65W output, it should be able to charge most light-weight ultra laptops out there."
